"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"CU",2019-03-30,80.3,-2.3469,5.8481,"Noah Syndergaard",592789,544931,"strikeout","swinging_strike",NA,NA,NA,NA,8,"Noah Syndergaard strikes out swinging.","R","L","R","WSH","NYM","S",2,NA,2,2,2019,0.9355,-0.6147,-0.0151,1.7775,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185508",3.3997,-117.0231,-1.1682,7.9952,22.2607,-37.8374,3.65,1.69,NA,NA,NA,80.749,2526,6.533,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.9668,NA,NA,0,1,0,0,NA,48,6,"Curveball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FF",2019-03-30,93.4,-2.269,5.7456,"Noah Syndergaard",592789,544931,NA,"foul",NA,NA,NA,NA,13,NA,"R","L","R","WSH","NYM","S",NA,NA,2,2,2019,-0.8761,0.8809,-1.0984,1.8775,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185439",5.0376,-136.0147,-6.2556,-12.173,30.0355,-19.8613,3.65,1.69,NA,NA,NA,94.422,1971,6.861,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.6386,NA,NA,NA,NA,NA,NA,NA,48,5,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FF",2019-03-30,94.1,-2.2232,5.7991,"Noah Syndergaard",592789,544931,NA,"ball",NA,NA,NA,NA,13,NA,"R","L","R","WSH","NYM","B",NA,NA,1,2,2019,-0.878,1.1474,-0.2147,0.9327,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185412",7.2712,-136.7738,-9.5884,-12.8336,30.2744,-15.5715,3.4031,1.7263,NA,NA,NA,95.016,1961,6.892,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.6074,NA,NA,NA,NA,NA,NA,NA,48,4,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"CH",2019-03-30,84.5,-2.2405,5.8768,"Noah Syndergaard",592789,544931,NA,"called_strike",NA,NA,NA,NA,4,NA,"R","L","R","WSH","NYM","S",NA,NA,1,1,2019,-1.2229,0.1799,-0.4145,2.8454,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185352",6.8504,-123.1186,-1.1137,-14.0734,23.768,-30.2585,3.4035,1.6537,NA,NA,NA,85.829,1533,7.012,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.4877,NA,NA,NA,NA,NA,NA,NA,48,3,"Changeup",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"CH",2019-03-30,86.3,-2.3937,5.7702,"Noah Syndergaard",592789,544931,NA,"swinging_strike",NA,NA,NA,NA,7,NA,"R","L","R","WSH","NYM","S",NA,NA,1,0,2019,-1.1853,0.1984,-0.3316,1.856,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185315",7.4989,-125.7083,-3.6018,-14.3714,23.8198,-29.4891,3.65,1.69,NA,NA,NA,87.872,1431,7.075,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.4249,NA,NA,NA,NA,NA,NA,NA,48,2,"Changeup",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FT",2019-03-30,91.9,-2.2914,5.8244,"Noah Syndergaard",592789,544931,NA,"ball",NA,NA,NA,NA,11,NA,"R","L","R","WSH","NYM","B",NA,NA,0,0,2019,-1.304,0.9253,-1.0979,3.7047,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185256",5.992,-133.9632,-1.6333,-17.3121,27.6552,-20.6068,3.4757,1.6755,NA,NA,NA,93.323,1946,6.936,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.5635,NA,NA,NA,NA,NA,NA,NA,48,1,"2-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Standard",NA
"FF",2019-03-30,93.5,-2.1683,5.846,"J.D. Davis",605204,544931,"strikeout","swinging_strike",NA,NA,NA,NA,5,"J.D. Davis strikes out swinging.","R","R","R","WSH","NYM","S",2,NA,3,2,2019,-0.7827,1.0793,-0.2637,2.8604,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185222",6.7243,-136.0596,-4.4116,-11.3326,29.401,-17.7874,3.49,1.601,NA,NA,NA,94.411,1933,6.787,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.7124,NA,NA,0,1,0,0,NA,47,6,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",NA
"FF",2019-03-30,93.8,-2.1087,5.861,"J.D. Davis",605204,544931,NA,"foul",NA,NA,NA,NA,6,NA,"R","R","R","WSH","NYM","S",NA,NA,3,1,2019,-0.795,1.254,0.6777,2.314,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185151",9.1534,-136.3072,-6.3467,-12.2641,31.5107,-14.8809,3.49,1.601,119,80.8,9.1,94.956,2170,7.153,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.3466,NA,NA,NA,NA,NA,NA,NA,47,5,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",0
"CH",2019-03-30,86.6,-2.3745,5.8098,"J.D. Davis",605204,544931,NA,"ball",NA,NA,NA,NA,11,NA,"R","R","R","WSH","NYM","B",NA,NA,2,1,2019,-1.2537,0.1972,-1.4393,2.8282,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185124",4.9746,-126.2753,-1.3539,-14.834,26.6054,-29.8961,3.49,1.6082,NA,NA,NA,88.139,1666,7.22,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.2795,NA,NA,NA,NA,NA,NA,NA,47,4,"Changeup",3,4,4,3,4,3,4,3,"Standard","Strategic",NA
"FF",2019-03-30,93.2,-2.2553,5.7903,"J.D. Davis",605204,544931,NA,"called_strike",NA,NA,NA,NA,8,NA,"R","R","R","WSH","NYM","S",NA,NA,2,0,2019,-0.8331,1.2714,0.1004,1.527,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,435559,NA,"190330_185104",8.05,-135.431,-8.1657,-12.2705,29.074,-14.504,3.4828,1.6154,NA,NA,NA,94.56,2144,7.121,565896,544931,435559,475582,572821,543685,607208,665742,645302,594809,53.3787,NA,NA,NA,NA,NA,NA,NA,47,3,"4-Seam Fastball",3,4,4,3,4,3,4,3,"Standard","Strategic",NA
