"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"SL",2019-03-29,90.1,-2.3226,5.7983,"Kevin Kiermaier",595281,543037,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Kevin Kiermaier strikes out swinging.","R","L","R","TB","HOU","S",2,NA,3,2,2019,0.4147,0.4894,1.3986,1.6075,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_010145",8.2983,-130.9356,-5.4454,3.1019,25.4474,-25.7741,3.4032,1.565,NA,NA,NA,89.554,2697,5.849,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6509,NA,NA,0,1,0,0,NA,49,8,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",NA
"SL",2019-03-29,89.1,-2.3294,5.7499,"Kevin Kiermaier",595281,543037,NA,"foul",NA,NA,NA,NA,9,NA,"R","L","R","TB","HOU","S",NA,NA,3,2,2019,0.3253,0.2833,0.7746,1.8904,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_010120",6.8906,-129.5888,-4.0383,2.2897,24.996,-28.466,3.4032,1.565,4,81.2,-28.1,88.589,2533,5.827,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6726,NA,NA,NA,NA,NA,NA,NA,49,7,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",0
"FF",2019-03-29,99.2,-2.2793,5.8153,"Kevin Kiermaier",595281,543037,NA,"ball",NA,NA,NA,NA,13,NA,"R","L","R","TB","HOU","B",NA,NA,2,2,2019,-1.1566,1.4095,-1.4261,2.0991,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_010057",5.0253,-144.1567,-7.9894,-17.2567,34.8272,-10.9191,3.3955,1.5806,NA,NA,NA,98.915,2615,6.294,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.2056,NA,NA,NA,NA,NA,NA,NA,49,6,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Infield shift","Standard",NA
"SL",2019-03-29,88.2,-2.1614,5.8298,"Kevin Kiermaier",595281,543037,NA,"foul",NA,NA,NA,NA,14,NA,"R","L","R","TB","HOU","S",NA,NA,2,2,2019,0.522,-0.081,1.5425,2.4128,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_010035",7.8545,-128.203,-2.0176,3.9977,26.6939,-32.8752,3.411,1.565,352,96.7,32.3,87.219,2777,5.746,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7539,NA,NA,NA,NA,NA,NA,NA,49,5,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",0
"CH",2019-03-29,88.3,-2.166,5.5652,"Kevin Kiermaier",595281,543037,NA,"ball",NA,NA,NA,NA,13,NA,"R","L","R","TB","HOU","B",NA,NA,1,2,2019,-1.181,1.0798,-0.6211,0.6189,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_010012",6.2627,-128.2507,-8.2161,-14.4368,27.0095,-18.6567,3.4032,1.5728,NA,NA,NA,88.543,1705,6.585,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,53.9146,NA,NA,NA,NA,NA,NA,NA,49,4,"Changeup",4,2,4,2,2,4,4,2,"Infield shift","Standard",NA
"SL",2019-03-29,88.7,-2.0778,5.8063,"Kevin Kiermaier",595281,543037,NA,"foul",NA,NA,NA,NA,8,NA,"R","L","R","TB","HOU","S",NA,NA,1,1,2019,0.3116,0.3142,-0.2681,1.8708,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005945",3.7546,-129.1128,-4.2282,2.7237,24.6765,-28.119,3.411,1.565,NA,NA,NA,88.263,2677,5.815,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6846,NA,NA,NA,NA,NA,NA,NA,49,3,"Slider",4,2,4,2,2,4,4,2,"Infield shift","Standard",NA
"FF",2019-03-29,97.4,-2.1077,5.7945,"Kevin Kiermaier",595281,543037,NA,"ball",NA,NA,NA,NA,12,NA,"R","L","R","TB","HOU","B",NA,NA,0,1,2019,-0.9373,1.5092,0.1508,3.9212,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005929",8.2036,-141.529,-2.9412,-14.4708,33.077,-11.4955,3.3877,1.5884,NA,NA,NA,97.205,2583,6.312,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.1873,NA,NA,NA,NA,NA,NA,NA,49,2,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Infield shift","Standard",NA
"FF",2019-03-29,95.8,-2.1915,5.7867,"Kevin Kiermaier",595281,543037,NA,"foul",NA,NA,NA,NA,6,NA,"R","L","R","TB","HOU","S",NA,NA,0,0,2019,-0.6739,1.7215,0.5083,2.3764,NA,NA,NA,2,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005909",8.6338,-139.0689,-7.1975,-10.774,33.7491,-8.4925,3.411,1.565,146,75.1,15,95.299,2539,6.319,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.1808,NA,NA,NA,NA,NA,NA,NA,49,1,"4-Seam Fastball",4,2,4,2,2,4,4,2,"Infield shift","Standard",0
"SL",2019-03-29,86.7,-2.0402,5.866,"Daniel Robertson",621002,543037,"field_out","hit_into_play",NA,NA,NA,NA,14,"Daniel Robertson flies out to right fielder Josh Reddick.","R","R","R","TB","HOU","X",9,"fly_ball",0,1,2019,0.6887,0.2107,0.9862,2.08,NA,NA,NA,1,6,"Bot",164.38,114.01,NA,NA,545358,NA,"190330_005840",5.7955,-126.1174,-3.2354,6.0034,25.832,-29.5589,3.411,1.565,223,76.7,46.2,85.791,2645,5.74,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7594,0.06,0.07,0,1,0,0,3,48,2,"Slider",4,2,4,2,2,4,4,2,"Standard","Standard",0
"KC",2019-03-29,79,-1.9722,5.8213,"Daniel Robertson",621002,543037,NA,"called_strike",NA,NA,NA,NA,13,NA,"R","R","R","TB","HOU","S",NA,NA,0,0,2019,1.0938,-1.3501,-0.875,1.9,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,545358,NA,"190330_005820",0.3869,-114.807,0.8585,9.2593,25.3332,-44.1886,3.0623,1.334,NA,NA,NA,77.552,2848,5.771,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7286,NA,NA,NA,NA,NA,NA,NA,48,1,"Knuckle Curve",4,2,4,2,2,4,4,2,"Standard","Strategic",NA
